text,file,line,kind,property,ocr_related,notes
{d:DesignInstance Type=viewModel:MainWindowViewModel},BetterGenshinImpact/View/MainWindow.xaml,18,xaml,text,False,
按键绑定,BetterGenshinImpact/View/MainWindow.xaml,156,xaml,Content,False,
退出,BetterGenshinImpact/View/MainWindow.xaml,297,xaml,Header,False,
当前处于编辑模式,BetterGenshinImpact/View/MaskWindow.xaml,390,xaml,Text,False,
可以调整日志框、状态栏控件的位置和大小,BetterGenshinImpact/View/MaskWindow.xaml,399,xaml,Text,False,
右键相关控件可退出编辑状态,BetterGenshinImpact/View/MaskWindow.xaml,409,xaml,Text,False,
西,BetterGenshinImpact/View/MaskWindow.xaml,460,xaml,Text,False,
南,BetterGenshinImpact/View/MaskWindow.xaml,473,xaml,Text,False,
东,BetterGenshinImpact/View/MaskWindow.xaml,486,xaml,Text,False,
北,BetterGenshinImpact/View/MaskWindow.xaml,499,xaml,Text,False,
隐藏,BetterGenshinImpact/View/MaskWindow.xaml,624,xaml,Content,False,
隐藏,BetterGenshinImpact/View/MaskWindow.xaml,625,xaml,ToolTip,False,
显示,BetterGenshinImpact/View/MaskWindow.xaml,637,xaml,Content,False,
显示,BetterGenshinImpact/View/MaskWindow.xaml,638,xaml,ToolTip,False,
正在加载文本...,BetterGenshinImpact/View/MaskWindow.xaml,658,xaml,Text,False,
图片加载中...,BetterGenshinImpact/View/MaskWindow.xaml,749,xaml,Text,False,
搜索当前区域下的标点分类,BetterGenshinImpact/View/MaskWindow.xaml,928,xaml,PlaceholderText,False,
当前显示/全部标点,BetterGenshinImpact/View/MaskWindow.xaml,936,xaml,ToolTip,False,
全部隐藏,BetterGenshinImpact/View/MaskWindow.xaml,945,xaml,ToolTip,False,
全部显示,BetterGenshinImpact/View/MaskWindow.xaml,955,xaml,ToolTip,False,
加载中...,BetterGenshinImpact/View/MaskWindow.xaml,1088,xaml,Text,False,
重置选择,BetterGenshinImpact/View/MaskWindow.xaml,1132,xaml,ToolTip,False,
双击选中要捕获的窗口,BetterGenshinImpact/View/PickerWindow.xaml,80,xaml,Text,False,
{TemplateBinding ContentControl.Content},BetterGenshinImpact/View/Controls/Draggable/DraggableResizableItem.xaml,26,xaml,Content,False,
{TemplateBinding ContentControl.Content},BetterGenshinImpact/View/Controls/Draggable/DraggableResizableItem.xaml,69,xaml,Content,False,
Markdown 加载失败,BetterGenshinImpact/View/Controls/Markdown/MarkdownView.xaml,39,xaml,Text,False,
正在渲染 Markdown…,BetterGenshinImpact/View/Controls/Markdown/MarkdownView.xaml,70,xaml,Text,False,
{TemplateBinding ContentControl.Content},BetterGenshinImpact/View/Controls/Style/ListViewEx.xaml,18,xaml,Content,False,
{d:DesignInstance Type=pages:CommonSettingsPageViewModel},BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,12,xaml,text,False,
UI Language,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,47,xaml,Text,False,
更新,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,54,xaml,Content,False,
Game Language,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,94,xaml,Text,False,
开启后可以拖拽调整日志、状态栏与指标栏位置，并调整大小,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,211,xaml,Text,False,
显示遮罩指标栏,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,280,xaml,Text,False,
显示游戏帧率、处理耗时和硬件占用，指标项可单独选择,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,285,xaml,Text,False,
显示遮罩边框,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,342,xaml,Text,False,
围绕游戏窗口紫色的边框线,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,348,xaml,Text,False,
启用准星,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,398,xaml,Text,False,
在遮罩窗口中心显示准星,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,403,xaml,Text,False,
准星类型,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,423,xaml,Text,False,
准星颜色,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,473,xaml,Text,False,
线宽,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,490,xaml,Text,False,
大小,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,514,xaml,Text,False,
中心点间隔,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,548,xaml,Text,False,
选择图片,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,592,xaml,Text,False,
缩放方式,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,616,xaml,Text,False,
保存奖励识别截图,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,851,xaml,Text,True,
启动时自动更新已订阅的脚本,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,889,xaml,Text,False,
启动时自动同步脚本仓库并更新所有已订阅的脚本,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,894,xaml,Text,False,
命令行启动时也自动更新,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,916,xaml,Text,False,
通过命令行参数启动配置组/一条龙时，先等待脚本更新完成再执行,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,921,xaml,Text,False,
是否就近七天神像恢复血量,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,1197,xaml,Text,False,
启用后将自动选择最近的七天神像，忽略下方指定位置,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,1200,xaml,Text,False,
传送到七天神像之后是否需要移动后回血,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,1215,xaml,Text,False,
