text,file,line,kind,property,ocr_related,notes
/Resources/Fonts/MiSans-Regular.ttf#MiSans,BetterGenshinImpact/App.xaml,20,xaml,inline-content,False,
/Resources/Fonts/deluge-led.ttf#Deluge LED,BetterGenshinImpact/App.xaml,21,xaml,inline-content,False,
[00:00:01 INF] Never gonna give you up,BetterGenshinImpact/View/MaskWindow.xaml,284,xaml,inline-content,False,
[00:00:01 INF] Never gonna let you down,BetterGenshinImpact/View/MaskWindow.xaml,286,xaml,inline-content,False,
"Cascadia Mono,Consolas",BetterGenshinImpact/View/Controls/Markdown/Resources/MarkdownStyles.xaml,31,xaml,inline-content,False,
{TemplateBinding ContentControl.ContentStringFormat},BetterGenshinImpact/View/Controls/Style/ListViewEx.xaml,19,xaml,ContentStringFormat,False,
{TemplateBinding ContentControl.ContentTemplate},BetterGenshinImpact/View/Controls/Style/ListViewEx.xaml,20,xaml,ContentTemplate,False,
/Resources/Fonts/#FgiRegular,BetterGenshinImpact/View/Controls/WpfUi/FaFontIconStyle.xaml,4,xaml,inline-content,False,
"游戏窗口分辨率不是 16:9 ！当前分辨率为 {Width}x{Height} , 非 16:9 分辨率的游戏无法正常使用{Msg}功能 !",BetterGenshinImpact/Helpers/AssertUtils.cs,28,cs,string-literal,False,
获取设备ID异常：,BetterGenshinImpact/Helpers/DeviceIdHelper.cs,28,cs,string-literal,False,
首次运行自动初始化按键绑定异常：,BetterGenshinImpact/Helpers/SecurityControlHelper.cs,33,cs,string-literal,False,
合成树脂执行异常：,BetterGenshinImpact/Model/OneDragonTaskItem.cs,87,cs,string-literal,False,
调用米游社地图接口获取点位树失败,BetterGenshinImpact/Service/MaskMapPointService.cs,111,cs,string-literal,False,
调用米游社地图接口获取点位列表失败,BetterGenshinImpact/Service/MaskMapPointService.cs,201,cs,string-literal,False,
获取地图点位列表失败: {Retcode} {Message},BetterGenshinImpact/Service/MaskMapPointService.cs,207,cs,string-literal,False,
查询米游社地图点位详情失败,BetterGenshinImpact/Service/MaskMapPointService.cs,298,cs,string-literal,False,
读取缓存文件失败: {CacheKey},BetterGenshinImpact/Service/MemoryFileCache.cs,249,cs,string-literal,False,
写入缓存文件失败: {CacheKey},BetterGenshinImpact/Service/MemoryFileCache.cs,283,cs,string-literal,False,
遮罩 CPU/内存指标初始化或读取失败，将自动隐藏不可用指标,BetterGenshinImpact/Service/OverlayMetricsService.cs,393,cs,string-literal,False,
遮罩原神显卡占用率初始化或读取失败，将自动隐藏该指标,BetterGenshinImpact/Service/OverlayMetricsService.cs,404,cs,string-literal,False,
{project.Name}任务已经不在执行周期（当前值${index}!=配置值${tcc.Index}），将跳过此任务！,BetterGenshinImpact/Service/ScriptService.cs,74,cs,string-literal,False,
锄地规划统计异常：{e.Message},BetterGenshinImpact/Service/ScriptService.cs,100,cs,string-literal,False,
