key,category,kind,property,sources,hit_count,in_th,th_value
**时间**: {data.Timestamp.ToString(,incomplete,cs,string-literal,BetterGenshinImpact/Service/Notifier/ServerChanNotifier.cs:104:cs,1,False,
PDH GPU 计数器实例在读取期间持续变化，无法取得稳定快照,noise,cs,string-literal,BetterGenshinImpact/Service/Model/OverlayMetric/PdhGpuEngineCounterSource.cs:151:cs,1,False,
PDH GPU 计数器实例过多：{itemCount},noise,cs,string-literal,BetterGenshinImpact/Service/Model/OverlayMetric/PdhGpuEngineCounterSource.cs:124:cs,1,False,
PDH GPU 计数器缓冲区过大：{bufferSize} 字节,noise,cs,string-literal,BetterGenshinImpact/Service/Model/OverlayMetric/PdhGpuEngineCounterSource.cs:98:cs,1,False,
icon_doc/all_bin/ 返回内容无法反序列化为 List<IconVo>,noise,cs,string-literal,BetterGenshinImpact/Service/Tavern/KongyingTavernApiService.cs:248:cs,1,False,
item_doc/list_page_bin/{page.Md5} 返回内容无法反序列化为 List<ItemTypeVo>,noise,cs,string-literal,BetterGenshinImpact/Service/Tavern/KongyingTavernApiService.cs:149:cs,1,False,
item_doc/list_page_bin_md5 返回内容无法反序列化,noise,cs,string-literal,BetterGenshinImpact/Service/Tavern/KongyingTavernApiService.cs:266:cs,1,False,
item_doc/list_page_bin_md5 返回错误: {result.Message ?? ,incomplete,cs,string-literal,BetterGenshinImpact/Service/Tavern/KongyingTavernApiService.cs:271:cs,1,False,
marker_doc/list_page_bin/{pageMd5} 返回内容为空,noise,cs,string-literal,BetterGenshinImpact/Service/Tavern/KongyingTavernApiService.cs:224:cs,1,False,
marker_doc/list_page_bin/{pageMd5} 返回内容无法反序列化为 List<MarkerVo>,noise,cs,string-literal,BetterGenshinImpact/Service/Tavern/KongyingTavernApiService.cs:231:cs,1,False,
marker_doc/list_page_bin_md5 返回内容无法反序列化,noise,cs,string-literal,BetterGenshinImpact/Service/Tavern/KongyingTavernApiService.cs:299:cs,1,False,
marker_doc/list_page_bin_md5 返回错误: {result.Message ?? ,incomplete,cs,string-literal,BetterGenshinImpact/Service/Tavern/KongyingTavernApiService.cs:304:cs,1,False,
oauth/token 返回内容无法反序列化,noise,cs,string-literal,BetterGenshinImpact/Service/Tavern/KongyingTavernApiService.cs:120:cs,1,False,
{operation} 失败，PDH 状态码 0x{status:X8},noise,cs,string-literal,BetterGenshinImpact/Service/Model/OverlayMetric/PdhGpuEngineCounterSource.cs:163:cs,1,False,
服务器返回错误: {(int)response.StatusCode} {response.StatusCode},noise,cs,string-literal,BetterGenshinImpact/Service/Notifier/BarkNotifier.cs:281:cs,1,False,
"服务器返回错误: {(int)response.StatusCode} {response.StatusCode}, 响应内容: {responseContent}",noise,cs,string-literal,BetterGenshinImpact/Service/Notifier/BarkNotifier.cs:283:cs,1,False,
