text,file,line,kind,property,ocr_related,notes
显示图像识别结果,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,368,xaml,Text,True,
截图快捷键,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,800,xaml,Text,True,
截图功能主要用于错误排查，训练素材快速获取等开发相关功能,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,805,xaml,Text,True,
截图遮盖UID,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,826,xaml,Text,True,
生成的截图会遮盖右下角的UID区域,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,831,xaml,Text,True,
查看当前识别到的位置,BetterGenshinImpact/View/Pages/CommonSettingsPage.xaml,2044,xaml,Text,True,
截图模式,BetterGenshinImpact/View/Pages/HomePage.xaml,136,xaml,Text,True,
测试功能，测试几种截图模式的效果,BetterGenshinImpact/View/Pages/HomePage.xaml,269,xaml,Text,True,
触发后会识别当前出战角色，并根据配置执行对应的宏,BetterGenshinImpact/View/Pages/MacroSettingsPage.xaml,45,xaml,Text,True,
识别当前页面的领取按钮或礼物图标并点击，需要配置快捷键进行触发,BetterGenshinImpact/View/Pages/MacroSettingsPage.xaml,180,xaml,Text,True,
通知时包含截图,BetterGenshinImpact/View/Pages/NotificationSettingsPage.xaml,67,xaml,Text,True,
总是在通知中包含截图,BetterGenshinImpact/View/Pages/NotificationSettingsPage.xaml,72,xaml,Text,True,
截图编码,BetterGenshinImpact/View/Pages/NotificationSettingsPage.xaml,1988,xaml,Text,True,
每轮领取后识别奖励名称与数量，任务结束打印汇总,BetterGenshinImpact/View/Pages/OneDragonFlowPage.xaml,1131,xaml,Text,True,
每轮领取后识别奖励名称与数量，任务结束打印汇总,BetterGenshinImpact/View/Pages/OneDragonFlowPage.xaml,1374,xaml,Text,True,
每轮领取后识别奖励名称与数量（图标匹配+OCR双路），任务结束打印汇总,BetterGenshinImpact/View/Pages/TaskSettingsPage.xaml,1639,xaml,Text,True,
每轮领取后识别奖励名称与数量（图标匹配+OCR双路），任务结束打印汇总,BetterGenshinImpact/View/Pages/TaskSettingsPage.xaml,1914,xaml,Text,True,
