resx_base,key,base_value,target_file,target_value,reason
BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.zh-Hans.resx,1星圣遗物,1星圣遗物,BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.th.resx,,missing-file
BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.zh-Hans.resx,2星圣遗物,2星圣遗物,BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.th.resx,,missing-file
BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.zh-Hans.resx,3星圣遗物,3星圣遗物,BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.th.resx,,missing-file
BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.zh-Hans.resx,4星圣遗物,4星圣遗物,BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.th.resx,,missing-file
BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.zh-Hans.resx,元素充能效率,元素充能效率,BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.th.resx,,missing-file
BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.zh-Hans.resx,元素精通,元素精通,BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.th.resx,,missing-file
BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.zh-Hans.resx,冰元素伤害加成,冰元素伤害加成,BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.th.resx,,missing-file
BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.zh-Hans.resx,岩元素伤害加成,岩元素伤害加成,BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.th.resx,,missing-file
BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.zh-Hans.resx,快速选择,快速选择,BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.th.resx,,missing-file
BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.zh-Hans.resx,攻击力,攻击力,BetterGenshinImpact/GameTask/AutoArtifactSalvage/AutoArtifactSalvageTask.th.resx,,missing-file
